class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_0010001,,,Anthropogenic material in or on which organisms may live.,,,,,,,,anthropogenic environmental material,ENVO_00010483
ENVO_01000406,,,Snow is an environmental material which is primarily composed of flakes of crystalline water ice.,,,,,,,envoPolar,snow,ENVO_00010483
ENVO_00000134,,"Ice is not always present, as may be in the case of nonporous bedrock, but it frequently occurs and it may be in amounts exceeding the potential hydraulic saturation of the ground material.",An environmental material which is 1) composed primarily of soil or rock and included ice or organic material and 2) at or below the freezing point of water for two or more years.,,,,,,,envoPolar,permafrost,ENVO_00010483
ENVO_00001998,,"'In engineering terms, soil is referred to as regolith, or loose rock material that lies above the 'solid geology'. Soil is commonly referred to as ""earth"" or ""dirt""; technically, the term ""dirt"" should be restricted to displaced soil.' https://en.wikipedia.org/wiki/Soil

"" The upper limit of soil is the boundary between soil and air, shallow water, live plants, or plant materials that have not begun to decompose. Areas are not considered to have soil if the surface is permanently covered by water too deep (typically more than 2.5 meters) for the growth of rooted plants.

The lower boundary that separates soil from the nonsoil underneath is most difficult to define. Soil consists of horizons near the Earth's surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. Commonly, soil grades at its lower boundary to hard rock or to earthy materials virtually devoid of animals, roots, or other marks of biological activity. For purposes of classification, the lower boundary of soil is arbitrarily set at 200 cm.""  Soil taxonomy, 2nd Ed., quoted in http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280","An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.","The various 'has part' and 'has quality' relations may not hold true for all soils; however, I have yet to find counter examples. Require input from a pedologist or similar. [pbuttigieg]",regolith,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,soil,"ENVO_01000813, ENVO_00010483"
ENVO_01000814,,"This is a defined class: its subclasses will not be asserted, but filled by inference.",An environmental material which is in a solid state.,,,,,,,,solid environmental material,ENVO_00010483
ENVO_01000001,,,"An environmental material which is a liquid or semi-liquid mixture of water and some combination of soil, silt, and clay particles.",,,,,,,,mud,ENVO_00010483
ENVO_01000155,,,Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.,,,biomass,,,,,organic material,ENVO_00010483
ENVO_00002264,,,A material which is not the desired output of a process and which is typically the input of a process which removes it from its producer (e.g. a disposal process).,"This seems more like a role than a material. Anything can be waste. Thus, a ""waste"" role or disposition will be created and this class can then be populated by inference: any environmental material which has [role,disposition] waste will be considered a waste material.",,,,,,,waste material,ENVO_00010483
ENVO_01000060,,,An environmental material which is composed primarily of particles.,Do not oversimplify this branch with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,particulate matter,,,,,envoAtmo,particulate environmental material,ENVO_00010483
ENVO_01000060,,,An environmental material which is composed primarily of particles.,Do not oversimplify this branch with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,particulate matter,,,,,envoPolar,particulate environmental material,ENVO_00010483
ENVO_03501300,,Most manure consists of animal feces; other sources include compost and green manure.,An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.,,,,animal manure,,,,manure,ENVO_00010483
ENVO_03501300,,Most manure consists of animal feces; other sources include compost and green manure.,An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.,,,,compost,,,,manure,ENVO_00010483
ENVO_03501300,,Most manure consists of animal feces; other sources include compost and green manure.,An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.,,,,farm slurry,,,,manure,ENVO_00010483
ENVO_03501300,,Most manure consists of animal feces; other sources include compost and green manure.,An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.,,,,green manure,,,,manure,ENVO_00010483
ENVO_03501300,,Most manure consists of animal feces; other sources include compost and green manure.,An environmental material consisting of organic matter from plants and/or animals that is used in agriculture as fertilizer.,,,,liquid manure,,,,manure,ENVO_00010483
ENVO_00002191,,,Straw or other material strewn in an animal's enclosure (e.g. a stable) for it to sleep on and to absorb its faeces and urine.,,,,,,,,animal litter,ENVO_00010483
ENVO_2000045,,,,,,,,,,,hydrocarbon-based environmental material,ENVO_00010483
ENVO_00003930,,,A layer of impurities that accumulates at the surface of a liquid (especially water or molten metal).,,,,,,,,scum,ENVO_00010483
ENVO_00005738,,,An environmental material which has the quality of a foam.,,,,,,,,foamy environmental material,ENVO_00010483
ENVO_00010505,,"Should connect to PATO as ""quality of an aerosol""",Airborne solid particles (also called dust or particulate matter (PM)) or liquid droplets.,,,,,,,envoAtmo,aerosol,ENVO_00010483
ENVO_00010506,,,A mixture of two immiscible (unblendable) substances. One substance (the dispersed phase) is dispersed in the other (the continuous phase).,,,,,,,,emulsion,ENVO_00010483
ENVO_02000140,,,An environmental material which is unable to resist shear forces and continuously deforms when subject to them.,,,,fluid,,,,fluid environmental material,ENVO_00010483
ENVO_01000637,,,"Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.",,space,,,,,envoAstro,outer space,ENVO_00010483
ENVO_01000575,,,A wax is an environmental material which is primarily composed of lipids or other organic compounds that consist of long alkyl chains. Waxes are are malleable near ambient temperatures and melt at approximately 45 degrees Celsius.,,,,,,,,wax,ENVO_00010483
ENVO_01000939,,"While the usage of the term is still debated, the general idea is that time crystals (which have been made using ytterbium ions and defect-bearing diamonds) break temporal symmetry analogously to how mineral crystal break spatial symmetry. While spatial crystals are inhomogeneous in space (vs a gas, which is distributed evenly) due to the ordering of their atoms, the properties of atoms in a time crystal are inhomogeneous in the time dimension.",An open system in non-equilibrium with its environment that exhibits time translation symmetry breaking.,,,space-time crystal,,,,,time crystal,ENVO_00010483
ENVO_01001069,,"While this class allows for some degree of contamination by non-metal substances, the material represented should show at least some of the typical features of a pure metal: hardness (except for liquid metals), opacity, lustre, malleability, fusibility, ductile  and good electrical and thermal conductivity.",A material which is composed primarily of one or more pure metals and which shows their properties.,"Far more axiomatisation can be done should the qualities of metals be added to PATO or a similar quality ontology. However, note that there are many exceptions to the typical qualities of the majority of metals.",,,,metal,,,metallic material,ENVO_00010483
ENVO_01001154,,"Examples include nitrogen, water, carbon dioxide, ammonia, hydrogen, methane and sulfur dioxide. In astrogeology, these compounds, in their solid state, often comprise large proportions of the crusts of moons and dwarf planets.","A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet.",Add and axiomatise with moon and lunar crust,,,,volatile,,envoAstro,volatile astrogeological material,ENVO_00010483
ENVO_01001156,,The refractory group includes elements and compounds like metals and silicates (commonly termed rocks) which make up the bulk of the mass of the terrestrial planets and asteroids in the inner belt.,A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet.,Add and axiomatise with moon and lunar crust,,,,refractory material,,envoAstro,refractory astrogeological material,ENVO_00010483
ENVO_01001202,,,Soil or sediment which has been eroded and influenced by flowing water and redeposited in a non-marine setting.,,,,,,,,alluvium,ENVO_00010483
ENVO_01001560,,"Wikipedia lists several forms of colloidal suspension such as colloidal aerosols, colloidal emulsions, colloidal foams, colloidal dispersions, or hydrosols.","An environmental material which is primarily composed of a dispersed phase of insoluable particles, approximately between 1 nanometer and 1 micrometer in maximum dimension, distributed throughout a material acting as a medium of suspension.",,colloid,,,,,,colloidal suspension,ENVO_00010483
ENVO_01001644,,,,,,,,,,,material primarily composed of biogenic carbonates,ENVO_00010483
ENVO_01001649,,,An environmental material which is denser than bromoform.,Axiomatising this with relational density qualities pinned to bromoform would be the next step.,,,,,,,heavy fraction material,ENVO_00010483
ENVO_01001650,,,An environmental material which is less dense than bromoform.,Axiomatising this with relational density qualities pinned to bromoform would be the next step.,,,,,,,light fraction material,ENVO_00010483
ENVO_02000004,,,"Nesting material is an animal habitation consisting of matierals used to cushion, insulate and protect the young of the organism. The adult will use the material to form a protective structure to house and raise their young. Nests are built primarily by birds, but also by mammals, fish, insects and reptiles.",,,,,,,,nesting material,ENVO_00010483
ENVO_03000076,,"These new ice classes refer to both marine water and fresh water ice. If using this term for annotation, use it in conjunction with another envo term to express whether the ice is in a marine, freshwater, or other system.","A slurry of frazil, snow, and liquid water.",,,,,,,envoPolar,slush ice,ENVO_00010483
ENVO_03501259,,,Environmental material consisting of waste products that have been discarded at an unsuitable location.,,,,,,,,litter,ENVO_00010483
ENVO_03501303,,,Macromolecules that are obtained naturally from plants or animals.,,,,,,,,natural-based polymer,ENVO_00010483
ENVO_03501306,,,A polyester film made from stretched polyethylene terephthalate (PET).,,,BoPET (Biaxially-oriented polyethylene terephthalate),,,,,mylar,ENVO_00010483
ENVO_03510015,,,"A polysaccharide that functions as an emulsifier, stabilizer, and thickener in mixtures.",,,,,,,,xanthan gum,ENVO_00010483
ENVO_03510016,,"Tragacanth has many uses, including as an emulsifier, thickener, stabilizer, and texturant additive for foods, pharmaceuticals, and art materials.","A naturally occurring plant-based gum, which functions as a viscous, odorless, tasteless, water-soluble mixture of polysaccharides that absorbs water to become a gel/paste.",,,shiraz gum,,,,,tragacanth,ENVO_00010483
ENVO_03510016,,"Tragacanth has many uses, including as an emulsifier, thickener, stabilizer, and texturant additive for foods, pharmaceuticals, and art materials.","A naturally occurring plant-based gum, which functions as a viscous, odorless, tasteless, water-soluble mixture of polysaccharides that absorbs water to become a gel/paste.",,,tragacanth gum,,,,,tragacanth,ENVO_00010483
ENVO_03510018,,,A solid or highly viscous plant or synthetic based substance that is typically convertible into polymers.,,,,,,,,resin,ENVO_00010483
ENVO_03510023,,,"A resin secreted by the female lac bug, which is dissolved in alcohol to be used as a brush-on colorant, food glaze, and wood finish.",,,shellack,,,,,shellac,ENVO_00010483
ENVO_03510037,,,Any material containing unstable atoms that emit ionizing radiation as it decays.,,,,,,,,radioactive material,ENVO_00010483
ENVO_03510038,,"Cyanoacrylates have industrial, medical, and household uses. A strong fast-acting adhesive which is an ester of cyanoacrylic acid.",An environmental material which is primarily composed of cyanoacrolate.,,,,,,,,volume of cyanoacrylate,ENVO_00010483
ENVO_03510064,,,An environmental material which is composed primarily of gases and particles produced by the combustion of petroleum fuels.,,,,,,,,emissions from petroleum combustion,ENVO_00010483
ENVO_03600013,,,"An environmental material which consists of either loose sands or partially consolidated sandstone, containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum.","TODO: create an astonomical body part 'bituminous sands"" and assert composed primarily of realtionship. Xref https://github.com/EnvironmentOntology/envo/issues/1154.

TREATED THIS as a material entity. could add something like ""oil sands deposit"" as a geospatial location later.",,crude bitumen,,,,,bituminous sand,ENVO_00010483
ENVO_03600013,,,"An environmental material which consists of either loose sands or partially consolidated sandstone, containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum.","TODO: create an astonomical body part 'bituminous sands"" and assert composed primarily of realtionship. Xref https://github.com/EnvironmentOntology/envo/issues/1154.

TREATED THIS as a material entity. could add something like ""oil sands deposit"" as a geospatial location later.",,oil sands,,,,,bituminous sand,ENVO_00010483
ENVO_03600013,,,"An environmental material which consists of either loose sands or partially consolidated sandstone, containing a naturally occurring mixture of sand, clay, and water, soaked with a dense and extremely viscous form of petroleum.","TODO: create an astonomical body part 'bituminous sands"" and assert composed primarily of realtionship. Xref https://github.com/EnvironmentOntology/envo/issues/1154.

TREATED THIS as a material entity. could add something like ""oil sands deposit"" as a geospatial location later.",,tar sands,,,,,bituminous sand,ENVO_00010483
ENVO_03600017,,,An environmental material which is composed of insoluble solid particles suspended in a liquid.,"term requester also included <denser than water> and <usually suspended in water>, but they may only be found in wikipedia's definition",,,,,,,slurry,ENVO_00010483
ENVO_06105003,,,"An environmental material which is capable of, repeatedly, becoming plastic when heated and hardening again when cooled.",,,,,,,envoPlastics,thermoplastic material,ENVO_00010483
ENVO_06105101,,"""High molecular mass"" can be ambiguous as it does not set a threshold for what is considered ""high"". Here we make no commitment to a threshold.",An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape.,,,Plastik,Kunststoff,,,envoPlastics,plastic,ENVO_00010483
ENVO_06105101,,"""High molecular mass"" can be ambiguous as it does not set a threshold for what is considered ""high"". Here we make no commitment to a threshold.",An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape.,,,plastica,Kunststoff,,,envoPlastics,plastic,ENVO_00010483
ENVO_06105101,,"""High molecular mass"" can be ambiguous as it does not set a threshold for what is considered ""high"". Here we make no commitment to a threshold.",An environnmental material which 1) is composed primarily of polymers with high molecular mass and 2) once deformed does not spontaneously return to its original shape.,,,塑膠,Kunststoff,,,envoPlastics,plastic,ENVO_00010483
ENVO_00000003,,,Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore.,,tailing,,,,,,mine tailing,ENVO_0010001
ENVO_00002044,,,"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.",,,,,,,http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC,sludge,ENVO_0010001
ENVO_00002230,,,"Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation.",,,,,,,,anthrosol,"ENVO_0010001, ENVO_00001998"
ENVO_0010003,,This is quite odd and it probably should be obsoleted. Any material that is a participant in an agricultural process can be seen as an agricultural material.,,This class will be depopulated and eventually deprecated.  Convenience class.,,,,,,,agricultural environmental material,ENVO_0010001
ENVO_00002870,,,"A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure).",,,,,,,,adobe,"ENVO_0010001, ENVO_01000814, ENVO_00003074"
ENVO_01000458,,"Missing the class for ""aggregate"" - tricky to define what it is, exactly. Again, seems more like some sort of material/disposition hybrid.",Concrete is a composite material composed of an aggregate bonded together with a fluid cement which hardens over time.,,,,,,,,concrete,ENVO_0010001
ENVO_01000462,,"""Cement"" refers more to a disposition than a specific material.",Masonry cement is a substance used in construction that has the disposition to set and harden and thus may be used to bind materials together.,,cement,,,,,,masonry cement,ENVO_0010001
ENVO_01000461,,,"Refined asphalt is a sticky, black, and highly viscous liquid or semi-solid with a boiling point above 500 degrees Celsius, obtained from the fractional distillation of crude oil.",,,refined bitumen,,,,,refined asphalt,"ENVO_0010001, ENVO_01000815, ENVO_00003074"
ENVO_01000474,,,"A portion of brick material is a material derived from a brick which is composed of  kneaded clay-bearing soil, expanded clay aggregate, sand and lime, or concrete that has been fire-hardened or air-dried.",,,,,,,,brick material,"ENVO_0010001, ENVO_01000814, ENVO_00003074"
ENVO_01000476,,,"Plaster is a building material which has the disposition to harden when it reacts with water, liberating heat through crystallization. Plaster is manufactured as a dry powder and is mixed with water to form a paste when used.",,,render,,,,,plaster,ENVO_0010001
