mixs_context_label	mixs_environment_label	ontology_term_id	ontology_term_label	claude-3-opus-20240229 2024-05-03T14:42	gemini-1.5-pro-latest 2024-05-02T12:15	gemini-1.5-pro-latest 2024-05-02T13:27	gemini-1.5-pro-latest 2024-05-02T13:51	gemini-1.5-pro-latest 2024-05-02T14:03	gemini-1.5-pro-latest 2024-05-02T16:01
env_broad_scale	Soil	ENVO_01000179	desert biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000180	tundra biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000176	shrubland biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000177	grassland biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000245	cropland biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000247	rangeland biome		confidence:1.0|comment:	confidence:1.0|comment:			
env_broad_scale	Soil	ENVO_01000202	temperate broadleaf forest biome		confidence:0.9|comment:High confidence due to the typical presence of well-developed soil ecosystems, but allowing for slight uncertainty due to potential variations in specific forest types or environmental conditions.	confidence:0.9|comment:			
env_broad_scale	Soil	ENVO_01000200	tropical broadleaf forest biome		confidence:0.9|comment:High confidence due to the generally rich soil environments in these forests, but accounting for possible exceptions like flooded forests or unique soil conditions.	confidence:0.9|comment:			
env_broad_scale	Soil	ENVO_01000221	temperate woodland biome		confidence:0.8|comment:Moderate to high confidence due to the typical presence of soil environments, but acknowledging potential variations in soil characteristics or specific woodland types.	confidence:0.8|comment:			
env_broad_scale	Soil	ENVO_01000220	tropical woodland biome		confidence:0.8|comment:Moderate to high confidence due to the general association with soil environments, but allowing for potential exceptions or unique soil conditions in certain tropical woodland types.	confidence:0.8|comment:			
env_broad_scale	Soil	ENVO_01000181	mangrove biome		confidence:0.7|comment:Moderate confidence due to the presence of unique intertidal soil conditions, which may differ significantly from typical terrestrial soil environments.	confidence:0.7|comment:Mangrove biomes exist in intertidal zones with unique soil conditions that are periodically submerged by water, which may not fully align with typical soil environments.			
env_broad_scale	Soil	ENVO_01000219	anthropogenic terrestrial biome		confidence:0.7|comment:Moderate confidence due to the wide range of environments encompassed, with varying degrees of soil interaction depending on specific land use practices and human modifications.	confidence:0.7|comment:The compatibility with the Soil extension varies significantly within this category depending on the specific type of anthropogenic environment and the degree of soil interaction.			
env_broad_scale	Soil	ENVO_01001831	temperate biome		confidence:0.7|comment:Moderate confidence as temperate biomes generally include forests, grasslands, and shrublands associated with soil, but acknowledging potential exceptions or subregions with minimal soil interaction.	confidence:0.7|comment:			
env_broad_scale	Soil	ENVO_01001830	tropical biome		confidence:0.7|comment:Moderate confidence due to the frequent presence of soil environments in rainforests, savannas, and grasslands, but considering possible exceptions or subregions with limited soil interaction.	confidence:0.7|comment:			
env_broad_scale	Soil	ENVO_01001832	subtropical biome		confidence:0.7|comment:Moderate confidence as subtropical biomes encompass diverse environments like forests, grasslands, and deserts, many involving soil, but acknowledging potential exceptions or subregions with limited soil interaction.	confidence:0.7|comment:			
env_broad_scale	Soil	ENVO_01001836	montane biome		confidence:0.6|comment:Moderate confidence due to the presence of soil environments in various ecosystems at higher elevations, but considering potential limitations in rocky areas or regions with sparse vegetation.	confidence:0.6|comment:			
env_broad_scale	Soil	ENVO_01000339	polar biome		confidence:0.6|comment:Moderate confidence as soil environments exist in tundra regions within polar biomes, but acknowledging limitations due to areas with permanent ice or snow cover.	confidence:0.6|comment:			
env_broad_scale	Soil	ENVO_01001834	subpolar biome		confidence:0.6|comment:Moderate confidence due to the general presence of soil environments in boreal forests and taiga, but considering potential limitations in specific conditions or subregions.	confidence:0.6|comment:			
env_broad_scale	Soil	ENVO_01001837	subalpine biome		confidence:0.6|comment:Moderate confidence as subalpine biomes often include forests, meadows, and shrublands with soil environments, but acknowledging potential limitations in rocky areas or regions with sparse vegetation.	confidence:0.6|comment:			
env_broad_scale	Soil	ENVO_01001838	arid biome		confidence:0.6|comment:Moderate confidence as arid biomes typically have soil environments, but recognizing potential variations in soil types and conditions depending on the specific arid ecosystem and moisture levels.	confidence:0.6|comment:			
env_broad_scale	Soil	ENVO_01000246	village biome		confidence:0.6|comment:Moderate confidence as village biomes involve soil interaction due to human settlements and agricultural activities, but acknowledging variability depending on land use practices and infrastructure.	confidence:0.6|comment:			
env_broad_scale	Water	ENVO_00002030	aquatic biome		confidence:1.0|comment:				
env_broad_scale	Water	ENVO_00000447	marine biome		confidence:1.0|comment:				
env_broad_scale	Water	ENVO_01000048	ocean biome		confidence:1.0|comment:				
env_broad_scale	Water	ENVO_01000046	marginal sea biome		confidence:0.9|comment:				
env_broad_scale	Water	ENVO_01000047	mediterranean sea biome		confidence:0.9|comment:				
env_broad_scale	Water	ENVO_01000023	marine pelagic biome		confidence:0.8|comment:				
env_broad_scale	Water	ENVO_00000873	freshwater biome		confidence:1.0|comment:				
env_broad_scale	Water	ENVO_01000253	freshwater river biome		confidence:0.9|comment:				
env_broad_scale	Water	ENVO_01000252	freshwater lake biome		confidence:1.0|comment:				
env_broad_scale	Agriculture	ENVO_01000219	anthropogenic terrestrial biome				confidence:0.9|comment:High confidence due to the inclusion of agricultural environments within this category, but allowing for some uncertainty as it also encompasses non-agricultural anthropogenic biomes.		
env_broad_scale	Agriculture	ENVO_01000245	cropland biome				confidence:1.0|comment:		
env_broad_scale	Agriculture	ENVO_01000247	rangeland biome				confidence:1.0|comment:		
env_broad_scale	BuiltEnvironment	ENVO_01000219	anthropogenic terrestrial biome				confidence:0.9|comment:High confidence as built environments fall under anthropogenic influences, but acknowledging the inclusion of non-built environments within this category.		
env_broad_scale	BuiltEnvironment	ENVO_01000248	dense settlement biome				confidence:0.9|comment:High confidence due to the relevance of dense human settlements to built environments, but allowing for some uncertainty as not all dense settlements are extensively built-up.		
env_broad_scale	BuiltEnvironment	ENVO_01000249	urban biome				confidence:1.0|comment:		
env_broad_scale	HydrocarbonResourcesFluidsSwabs	ENVO_01000219	anthropogenic terrestrial biome				confidence:0.7|comment:Moderate confidence due to the potential presence of hydrocarbon resource extraction activities within anthropogenic terrestrial biomes, but acknowledging the broad scope of this category and the possibility of environments without hydrocarbon resources.	confidence:0.8|comment:High confidence due to the frequent presence of hydrocarbon resource extraction activities within anthropogenic terrestrial biomes, but acknowledging the possibility of environments without hydrocarbon resources.	
env_broad_scale	HydrocarbonResourcesFluidsSwabs	ENVO_00000447	marine biome					confidence:0.7|comment:Moderate confidence as offshore oil and gas extraction occurs within marine environments, leading to the presence of fluid hydrocarbons in these areas.	
env_broad_scale	HydrocarbonResourcesFluidsSwabs	ENVO_00000873	freshwater biome					confidence:0.6|comment:Moderate confidence due to the possibility of hydrocarbon extraction activities occurring near freshwater bodies, leading to the presence of fluid hydrocarbons in certain freshwater environments.	
env_broad_scale	HydrocarbonResourcesFluidsSwabs	ENVO_01000180	tundra biome					confidence:0.7|comment:Moderate confidence as oil and gas exploration and extraction occur in Arctic tundra regions, leading to the presence of fluid hydrocarbons in these areas.	
env_broad_scale	HydrocarbonResourcesFluidsSwabs	ENVO_01000179	desert biome					confidence:0.7|comment:Moderate confidence as many arid and desert regions are rich in hydrocarbon resources and extraction activities, leading to the presence of fluid hydrocarbons in these environments.	
env_broad_scale	HydrocarbonResourcesCores	ENVO_01000219	anthropogenic terrestrial biome					confidence:0.8|comment:High confidence due to the association of hydrocarbon resource extraction activities, including core sampling, with anthropogenic terrestrial biomes, but acknowledging the possibility of environments without hydrocarbon resources.	
env_broad_scale	HydrocarbonResourcesCores	ENVO_00000447	marine biome					confidence:0.7|comment:Moderate confidence as offshore oil and gas exploration involves core sampling within marine environments.	
env_broad_scale	HydrocarbonResourcesCores	ENVO_01000180	tundra biome					confidence:0.7|comment:Moderate confidence due to the presence of oil and gas exploration and core sampling activities in Arctic tundra regions.	
env_broad_scale	HydrocarbonResourcesCores	ENVO_01000179	desert biome					confidence:0.7|comment:Moderate confidence as many arid and desert regions contain hydrocarbon resources and undergo exploration involving core sampling.	
env_broad_scale	MicrobialMatBiofilm	ENVO_00002030	aquatic biome					confidence:0.8|comment:High confidence as microbial mats and biofilms are frequently found in aquatic environments, but acknowledging the possibility of their occurrence in non-aquatic settings.	
env_broad_scale	MicrobialMatBiofilm	ENVO_00000447	marine biome					confidence:0.8|comment:High confidence due to the prevalence of microbial mats and biofilms in marine ecosystems, but considering potential variations in their distribution and abundance.	
env_broad_scale	MicrobialMatBiofilm	ENVO_00000873	freshwater biome					confidence:0.7|comment:Moderate confidence as microbial mats and biofilms can occur in various freshwater environments, but acknowledging potential variations in their prevalence and specific habitat preferences.	
env_broad_scale	MiscellaneousNaturalOrArtificialEnvironment	ENVO_01000219	anthropogenic terrestrial biome					confidence:0.9|comment:High confidence as this extension is designed for miscellaneous environments, which often fall under anthropogenic influences, but acknowledging the inclusion of natural environments within this category.	
env_broad_scale	MiscellaneousNaturalOrArtificialEnvironment	ENVO_00000446	terrestrial biome					confidence:0.8|comment:High confidence as this extension encompasses miscellaneous environments, including terrestrial ones, but considering the possibility of aquatic or other non-terrestrial environments.	
env_broad_scale	MiscellaneousNaturalOrArtificialEnvironment	ENVO_00002030	aquatic biome					confidence:0.7|comment:Moderate confidence due to the possibility of miscellaneous environments occurring in aquatic settings, but acknowledging the broader scope of this extension beyond aquatic biomes.	
env_broad_scale	PlantAssociated	ENVO_01000174	forest biome					confidence:0.9|comment:High confidence as plant-associated environments are commonly found within forest biomes, but allowing for some uncertainty due to potential exceptions or variations in specific forest types.	
env_broad_scale	PlantAssociated	ENVO_01000175	woodland biome					confidence:0.9|comment:High confidence due to the frequent presence of plant-associated environments in woodland biomes, but acknowledging potential variations in plant communities and soil conditions.	
env_broad_scale	PlantAssociated	ENVO_01000176	shrubland biome					confidence:0.9|comment:High confidence as shrubland biomes typically involve plant-associated environments, but allowing for some uncertainty due to potential variations in shrub types and densities.	
env_broad_scale	PlantAssociated	ENVO_01000177	grassland biome					confidence:0.9|comment:High confidence as grassland biomes often include plant-associated environments, but acknowledging potential variations in grass types and the presence of other vegetation.	
env_broad_scale	PlantAssociated	ENVO_01000181	mangrove biome					confidence:0.8|comment:Moderate to high confidence as mangrove biomes are characterized by specific plant communities, but acknowledging the unique intertidal conditions and potential variations in mangrove species.	
