in_right	Relationship	Left URI	Right URI
-	Annotation	<http://purl.org/dc/terms/license>	<https://creativecommons.org/publicdomain/zero/1.0/>
-	AnnotationPropertyRange	<http://purl.obolibrary.org/obo/RO_0002419>	<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_00000015>	<https://www.wikidata.org/wiki/Q715269>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01000216>	<https://www.wikidata.org/wiki/Q2306597>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01000801>	<https://www.wikidata.org/wiki/Q525>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01000958>	<https://www.wikidata.org/wiki/Q2>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001211>	<http://purl.obolibrary.org/obo/ENVO_01001862>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001569>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001571>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001572>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001573>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001574>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001575>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001576>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001577>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001578>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001579>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001580>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001583>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001584>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001585>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001586>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001587>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001588>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001589>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001590>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001591>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001592>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001593>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001594>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001595>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001596>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001597>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001598>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001599>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001600>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001601>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001602>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001603>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001604>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001605>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001626>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001627>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001570>	<http://purl.obolibrary.org/obo/ENVO_01001628>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001698>	<http://purl.obolibrary.org/obo/ENVO_01001699>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001698>	<http://purl.obolibrary.org/obo/ENVO_01001700>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001780>	<http://purl.obolibrary.org/obo/ENVO_01001591>
-	ClassAssertion	<http://purl.obolibrary.org/obo/ENVO_01001780>	<http://purl.obolibrary.org/obo/ENVO_01001627>
-	ClassAssertion	<http://purl.obolibrary.org/obo/IAO_0000078>	<http://purl.obolibrary.org/obo/IAO_0000125>
-	ClassAssertion	<http://purl.obolibrary.org/obo/IAO_0000078>	<http://purl.obolibrary.org/obo/IAO_0000428>
-	DataPropertyDomain	<http://purl.obolibrary.org/obo/IAO_0000004>	<http://purl.obolibrary.org/obo/IAO_0000032>
-	DataPropertyRange	<http://purl.obolibrary.org/obo/IAO_0000004>	xsd:double
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000002>	<http://purl.obolibrary.org/obo/BFO_0000003>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000004>	<http://purl.obolibrary.org/obo/BFO_0000020>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000004>	<http://purl.obolibrary.org/obo/BFO_0000031>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000006>	<http://purl.obolibrary.org/obo/BFO_0000029>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000006>	<http://purl.obolibrary.org/obo/BFO_0000140>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000008>	<http://purl.obolibrary.org/obo/BFO_0000011>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000008>	<http://purl.obolibrary.org/obo/BFO_0000015>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000008>	<http://purl.obolibrary.org/obo/BFO_0000035>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000016>	<http://purl.obolibrary.org/obo/BFO_0000023>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000017>	<http://purl.obolibrary.org/obo/BFO_0000019>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://purl.obolibrary.org/obo/BFO_0000031>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000040>	<http://purl.obolibrary.org/obo/BFO_0000141>
-	DisjointClasses	<http://purl.obolibrary.org/obo/BFO_0000142>	<http://purl.obolibrary.org/obo/BFO_0000146>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000030>	<http://purl.obolibrary.org/obo/ENVO_00000323>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000096>	<http://purl.obolibrary.org/obo/ENVO_00000246>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000199>	<http://purl.obolibrary.org/obo/ENVO_01000285>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000206>	<http://purl.obolibrary.org/obo/ENVO_00000207>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000320>	<http://purl.obolibrary.org/obo/ENVO_01000294>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000340>	<http://purl.obolibrary.org/obo/ENVO_01000017>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000428>	<http://purl.obolibrary.org/obo/ENVO_01000276>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00000428>	<http://purl.obolibrary.org/obo/ENVO_01000280>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00001995>	<http://purl.obolibrary.org/obo/ENVO_01000256>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_00002982>	<http://purl.obolibrary.org/obo/ENVO_01000016>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000016>	<http://purl.obolibrary.org/obo/ENVO_01000017>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000032>	<http://purl.obolibrary.org/obo/ENVO_01000033>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000272>	<http://purl.obolibrary.org/obo/ENVO_01000273>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000284>	<http://purl.obolibrary.org/obo/ENVO_01000285>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000286>	<http://purl.obolibrary.org/obo/ENVO_01000287>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000286>	<http://purl.obolibrary.org/obo/ENVO_01000288>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000287>	<http://purl.obolibrary.org/obo/ENVO_01000288>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000764>	<http://purl.obolibrary.org/obo/ENVO_01000765>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_01000766>	<http://purl.obolibrary.org/obo/ENVO_01000767>
-	DisjointClasses	<http://purl.obolibrary.org/obo/ENVO_02000136>	<http://purl.obolibrary.org/obo/ENVO_02000137>
-	DisjointClasses	<http://purl.obolibrary.org/obo/GO_0003674>	<http://purl.obolibrary.org/obo/GO_0008150>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0000608>	<http://purl.obolibrary.org/obo/PATO_0000610>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0000982>	<http://purl.obolibrary.org/obo/PATO_0000983>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0000984>	<http://purl.obolibrary.org/obo/PATO_0000985>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001171>	<http://purl.obolibrary.org/obo/PATO_0001172>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001236>	<http://purl.obolibrary.org/obo/PATO_0001241>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001455>	<http://purl.obolibrary.org/obo/PATO_0001456>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001566>	<http://purl.obolibrary.org/obo/PATO_0001629>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001823>	<http://purl.obolibrary.org/obo/PATO_0001824>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0001884>	<http://purl.obolibrary.org/obo/PATO_0001886>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PATO_0002139>	<http://purl.obolibrary.org/obo/PATO_0002140>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000034>	<http://purl.obolibrary.org/obo/PO_0009002>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000034>	<http://purl.obolibrary.org/obo/PO_0009008>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000034>	<http://purl.obolibrary.org/obo/PO_0025001>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000034>	<http://purl.obolibrary.org/obo/PO_0025007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000034>	<http://purl.obolibrary.org/obo/PO_0025269>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000059>	<http://purl.obolibrary.org/obo/PO_0000295>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000059>	<http://purl.obolibrary.org/obo/PO_0000349>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000059>	<http://purl.obolibrary.org/obo/PO_0030067>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000059>	<http://purl.obolibrary.org/obo/PO_0030086>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000115>	<http://purl.obolibrary.org/obo/PO_0000332>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000284>	<http://purl.obolibrary.org/obo/PO_0000332>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000290>	<http://purl.obolibrary.org/obo/PO_0025032>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000293>	<http://purl.obolibrary.org/obo/PO_0000332>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000295>	<http://purl.obolibrary.org/obo/PO_0000349>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000295>	<http://purl.obolibrary.org/obo/PO_0030067>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000295>	<http://purl.obolibrary.org/obo/PO_0030086>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000332>	<http://purl.obolibrary.org/obo/PO_0008030>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000349>	<http://purl.obolibrary.org/obo/PO_0030067>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0000349>	<http://purl.obolibrary.org/obo/PO_0030086>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0005352>	<http://purl.obolibrary.org/obo/PO_0030047>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0005417>	<http://purl.obolibrary.org/obo/PO_0030048>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009002>	<http://purl.obolibrary.org/obo/PO_0009007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009002>	<http://purl.obolibrary.org/obo/PO_0009008>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009002>	<http://purl.obolibrary.org/obo/PO_0025001>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009002>	<http://purl.obolibrary.org/obo/PO_0025007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009002>	<http://purl.obolibrary.org/obo/PO_0025269>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009006>	<http://purl.obolibrary.org/obo/PO_0025025>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009007>	<http://purl.obolibrary.org/obo/PO_0009008>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009007>	<http://purl.obolibrary.org/obo/PO_0025001>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009007>	<http://purl.obolibrary.org/obo/PO_0025007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009007>	<http://purl.obolibrary.org/obo/PO_0025269>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0009058>	<http://purl.obolibrary.org/obo/PO_0030031>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0025033>	<http://purl.obolibrary.org/obo/PO_0025406>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0025136>	<http://purl.obolibrary.org/obo/PO_0025137>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0025298>	<http://purl.obolibrary.org/obo/PO_0030044>
-	DisjointClasses	<http://purl.obolibrary.org/obo/PO_0030049>	<http://purl.obolibrary.org/obo/PO_0030085>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000062>	<http://purl.obolibrary.org/obo/UBERON_0034921>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000465>	<http://purl.obolibrary.org/obo/UBERON_0000466>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000476>	<http://purl.obolibrary.org/obo/UBERON_0010000>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000982>	<http://purl.obolibrary.org/obo/UBERON_0001474>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0001004>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0001007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0001009>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0001016>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0001434>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0002204>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0002390>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0002405>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0002416>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_0004456>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0000990>	<http://purl.obolibrary.org/obo/UBERON_8450002>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0001007>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0001009>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0001016>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0001434>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0002204>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0002390>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0002405>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0002416>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_0004456>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001004>	<http://purl.obolibrary.org/obo/UBERON_8450002>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0001009>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0001016>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0001434>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0002204>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0002390>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0002405>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0002416>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_0004456>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001007>	<http://purl.obolibrary.org/obo/UBERON_8450002>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0001016>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0001434>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0002204>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0002390>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0002405>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0002416>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_0004456>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001009>	<http://purl.obolibrary.org/obo/UBERON_8450002>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001013>	<http://purl.obolibrary.org/obo/UBERON_0003714>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0001434>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0002204>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0002390>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0002405>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0002416>
-	DisjointClasses	<http://purl.obolibrary.org/obo/UBERON_0001016>	<http://purl.obolibrary.org/obo/UBERON_0004456>
