Value	Count	ontology	local_id
ENVO:01000253	1040	ENVO	01000253
ENVO:01000621	17	ENVO	01000621
ENVO:01000017	52	ENVO	01000017
ENVO:00000446	5606	ENVO	00000446
PO:0025025	10	PO	0025025
PO:0009007	10	PO	0009007
ENVO:00000291	10	ENVO	00000291
ENVO:00005802	172	ENVO	00005802
ENVO:00005801	118	ENVO	00005801
ENVO:00001998	5294	ENVO	00001998
ENVO:01000941	17	ENVO	01000941
ENVO:00002194	17	ENVO	00002194
ENVO:01000219	107	ENVO	01000219
ENVO:02500027	2	ENVO	02500027
ENVO:01001869	2	ENVO	01001869
ENVO:00000384	33	ENVO	00000384
ENVO:00002007	165	ENVO	00002007
ENVO:01001209	2	ENVO	01001209
ENVO:00003082	2	ENVO	00003082
ENVO:01000252	560	ENVO	01000252
ENVO:00000021	93	ENVO	00000021
ENVO:04000007	560	ENVO	04000007
ENVO:00000873	38	ENVO	00000873
ENVO:00003074	1	ENVO	00003074
ENVO:00002011	1	ENVO	00002011
ENVO:01000174	205	ENVO	01000174
ENVO:00000044	83	ENVO	00000044
ENVO:00005774	118	ENVO	00005774
ENVO:01001803	105	ENVO	01001803
ENVO:00005778	105	ENVO	00005778
ENVO:00000108	53	ENVO	00000108
ENVO:00000292	53	ENVO	00000292
ENVO:00000022	452	ENVO	00000022
ENVO:01000221	29	ENVO	01000221
ENVO:00005784	17	ENVO	00005784
ENVO:00002204	10	ENVO	00002204
ENVO:01000211	6	ENVO	01000211
ENVO:01000245	9	ENVO	01000245
ENVO:00000119	4	ENVO	00000119
ENVO:02000059	13	ENVO	02000059
ENVO:01000250	31	ENVO	01000250
ENVO:01000355	18	ENVO	01000355
ENVO:01000247	8	ENVO	01000247
ENVO:01000183	2	ENVO	01000183
ENVO:00000170	1	ENVO	00000170
ENVO:00005800	1	ENVO	00005800
ENVO:01000249	15	ENVO	01000249
ENVO:00000120	6	ENVO	00000120
ENVO:00000161	3	ENVO	00000161
ENVO:01000179	6	ENVO	01000179
ENVO:01000185	6	ENVO	01000185
ENVO:00005741	6	ENVO	00005741
ENVO:01000892	207	ENVO	01000892
ENVO:00000094	4	ENVO	00000094
ENVO:01001841	4	ENVO	01001841
ENVO:01000687	2	ENVO	01000687
ENVO:00000548	1	ENVO	00000548
ENVO:01000018	1	ENVO	01000018
ENVO:01000215	8	ENVO	01000215
ENVO:01000177	60	ENVO	01000177
ENVO:00000376	60	ENVO	00000376
ENVO:00005750	64	ENVO	00005750
ENVO:00002258	2	ENVO	00002258
ENVO:00000011	113	ENVO	00000011
ENVO:01001057	199	ENVO	01001057
ENVO:01000349	101	ENVO	01000349
PO:0025034	98	PO	0025034
ENVO:00002042	287	ENVO	00002042
ENVO:00002131	398	ENVO	00002131
ENVO:00002132	3	ENVO	00002132
ENVO:00002130	4	ENVO	00002130
ENVO:01001002	156	ENVO	01001002
UBERON:0001555	95	UBERON	0001555
ENVO:00002003	151	ENVO	00002003
ENVO:00000128	2	ENVO	00000128
ENVO:01001616	10	ENVO	01001616
ENVO:01000869	614	ENVO	01000869
ENVO:00000114	12	ENVO	00000114
ENVO:00002259	12	ENVO	00002259
ENVO:01000816	1069	ENVO	01000816
ENVO:01000888	777	ENVO	01000888
ENVO:01000893	245	ENVO	01000893
ENVO:01000891	169	ENVO	01000891
ENVO:00002000	14	ENVO	00002000
ENVO:01000843	1268	ENVO	01000843
ENVO:00002261	22	ENVO	00002261
ENVO:01000189	4	ENVO	01000189
ENVO:00000086	4	ENVO	00000086
ENVO:00005760	2	ENVO	00005760
ENVO:00000305	4	ENVO	00000305
ENVO:00005773	2	ENVO	00005773
ENVO:01000855	199	ENVO	01000855
ENVO:01001837	18	ENVO	01001837
ENVO:00000083	4	ENVO	00000083
ENVO:00005761	10	ENVO	00005761
ENVO:00000182	4	ENVO	00000182
ENVO:00000444	4	ENVO	00000444
ENVO:01000216	6	ENVO	01000216
ENVO:00000100	12	ENVO	00000100
ENVO:01000887	123	ENVO	01000887
ENVO:01000894	45	ENVO	01000894
ENVO:01000861	295	ENVO	01000861
FMA:14541	66	FMA	14541
ENVO:03600095	191	ENVO	03600095
ENVO:03605003	25	ENVO	03605003
ENVO:03600094	95	ENVO	03600094
ENVO:03605004	100	ENVO	03605004
ENVO:03605001	371	ENVO	03605001
ENVO:00000148	243	ENVO	00000148
ENVO:03600096	31	ENVO	03600096
ENVO:03605002	27	ENVO	03605002
ENVO:03605005	37	ENVO	03605005
ENVO:01001442	384	ENVO	01001442
ENVO:01001001	192	ENVO	01001001
ENVO:03605008	104	ENVO	03605008
ENVO:03605007	104	ENVO	03605007
ENVO:03605006	104	ENVO	03605006
ENVO:01001191	18	ENVO	01001191
ENVO:01000409	34	ENVO	01000409
ENVO:01000297	13	ENVO	01000297
ENVO:01000599	13	ENVO	01000599
ENVO:00002269	10	ENVO	00002269
ENVO:00000516	38	ENVO	00000516
ENVO:01001370	12	ENVO	01001370
