ID	LBL	Owner
http://purl.obolibrary.org/obo/ENVO_06105242	basic cation exchange capacity	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105240	cation exchange capacity	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105277	clay loam	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105205	compacted soil	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105269	desalinated water	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105301	desalination process	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105233	dry soil albedo	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105239	exchangeable calcium	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105236	exchangeable ion	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105237	exchangeable potassium	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105302	field capacity	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105273	fine sand	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105272	loamy sand	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105234	moist soil albedo	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105265	net shortwave radiation	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105303	permanent wilting point	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105213	photosynthetic photon flux	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105204	photosynthetic photon flux density	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105215	rainy day count	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105238	residual water in soil	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105211	runoff	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105279	sandy clay	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105276	sandy clay loam	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105274	sandy loam	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105280	silty clay	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105278	silty clay loam	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105275	silty loam	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105232	soil albedo	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105202	soil compaction process	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105241	soil drainage	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105266	soil layer	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105226	soil layer bottom depth	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105225	soil layer top depth	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105210	soil percolation rate	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105267	soil profile characterization	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105271	soil texture	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105268	treated wastewater	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105300	wastewater treatment process	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105230	water infiltration	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105231	water infiltration into soil	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105201	water table	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105203	water table depth	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_06105304	water-holding capacity of soil	Agronomy Ontology
http://purl.obolibrary.org/obo/ENVO_03500005	anthropogenic litter	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500009	attractive environment	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500004	bike path	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500015	far-infrared radiation	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500006	food desert	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500013	mid-infrared radiation	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500014	near-infrared radiation	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500007	noisy environment	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500001	playground	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500002	public park	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500003	public sports field	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500008	safe environment for human presence	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500010	shady environment	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500012	ultrasound radiation	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03500011	violent environment	Anne Thessen
http://purl.obolibrary.org/obo/ENVO_03501100	ferry	Anton Van de Putte
http://purl.obolibrary.org/obo/ENVO_02000148	Haber-Bosch process	Chris Mungall
