?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_00003094>	"L-(+)-tartrate enriched soil"	"A portion of L-(+)-tartrate enriched soil is a portion of soil with elevated levels of L-(+)-tartrate."
<http://purl.obolibrary.org/obo/ENVO_00003087>	"acetamide enriched soil"	"A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide."
<http://purl.obolibrary.org/obo/ENVO_01001185>	"acidic soil"	"Soil which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7."
<http://purl.obolibrary.org/obo/ENVO_00002234>	"acrisol"	"Acrisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Acrisols have in certain depths a low base saturation and low-activity clays."
<http://purl.obolibrary.org/obo/ENVO_00002259>	"agricultural soil"	"Soil which is part of an ecosystem used for agricultural activities."
<http://purl.obolibrary.org/obo/ENVO_00002233>	"albeluvisol"	"Albeluvisols are soils that have, beginning within 1 m of the soil surface, a clay illuviation horizon with an irregular or broken upper boundary resulting in tonguing of bleached soil material into the illuviation horizon."
<http://purl.obolibrary.org/obo/ENVO_00002231>	"alisol"	"Alisols are soils that have a higher clay content in the subsoil than in the topsoil as a result of pedogenetic processes (especially clay migration) leading to an argic subsoil horizon. Alisols have a low base saturation at certain depths and high-activity clays throughout the argic horizon. They lack the albeluvic tonguing as in Albeluvisols. They occur predominantly in humid tropical, humid subtropical and warm temperate regions."
<http://purl.obolibrary.org/obo/ENVO_00005744>	"allotment garden soil"	"Soil which is part of an allotment garden."
<http://purl.obolibrary.org/obo/ENVO_00005759>	"alluvial paddy field soil"	"Alluvial soil whichi is part of a paddy field."
<http://purl.obolibrary.org/obo/ENVO_00002871>	"alluvial soil"	"Soil which has been eroded and influenced by flowing water and redeposited in a non-marine setting."
<http://purl.obolibrary.org/obo/ENVO_00005758>	"alluvial swamp soil"	"A portion of alluvial soil which is part of a swamp ecosystem."
<http://purl.obolibrary.org/obo/ENVO_00005741>	"alpine soil"	"Soil which is part of an alpine environment."
<http://purl.obolibrary.org/obo/ENVO_00002232>	"andosol"	"Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates."
<http://purl.obolibrary.org/obo/ENVO_00002230>	"anthrosol"	"Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation."
<http://purl.obolibrary.org/obo/ENVO_00005742>	"arable soil"	"Soil which is capable of supporting the growth of crops."
<http://purl.obolibrary.org/obo/ENVO_00002229>	"arenosol"	"Arenosols are sandy soils, including both soils developed in residual sands after in situ weathering of usually quartz-rich sediments or rock, and soils developed in recently deposited sands such as dunes in deserts and beach lands."
