?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001835>	"alpine biome"	"A biome which is subject to alpine altitudinal conditions."
<http://purl.obolibrary.org/obo/ENVO_00002030>	"aquatic biome"	"A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water."
<http://purl.obolibrary.org/obo/ENVO_01001838>	"arid biome"	"A biome which is subject to arid environmental conditions."
<http://purl.obolibrary.org/obo/ENVO_00000428>	"biome"	"A biome is an ecosystem to which resident ecological communities have evolved adaptations."
<http://purl.obolibrary.org/obo/ENVO_01000004>	"concentration basin mediterranean sea biome"	"The concentration basin mediterranean sea biome comprises expressions of the mediterranean sea biome that have higher salinity than bordering oceans due to evaporation. Water exchange consists of inflow of the fresher oceanic water in the upper layer and outflow of the saltier mediterranean water in the lower layer of the connecting channel."
<http://purl.obolibrary.org/obo/ENVO_01000128>	"dilution basin mediterranean sea biome"	"The dilution basin mediterranean sea biome comprises expressions of the mediterranean sea biome with lower salinity than the surrounding ocean due to freshwater gains such as rainfall and rivers. Water exchange consists of outflow of the fresher mediterranean water in the upper layer and inflow of the saltier oceanic water in the lower layer of the channel. Renewal of deep water may not be sufficient to supply oxygen to the bottom."
<http://purl.obolibrary.org/obo/ENVO_01000045>	"epeiric sea biome"	"The epeiric sea (also known as an epicontinental sea) biome comprises a shallow seas that extend over part of a continent. Epeiric seas are usually associated with the marine transgressions of the geologic  past, which have variously been due to either global eustatic sea level changes, local tectonic deformation, or both, and are occasionally semi-cyclic."
<http://purl.obolibrary.org/obo/ENVO_01000020>	"estuarine biome"	"Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt."
<http://purl.obolibrary.org/obo/ENVO_00000873>	"freshwater biome"	"An aquatic biome which is determined by a body of freshwater."
<http://purl.obolibrary.org/obo/ENVO_01000252>	"freshwater lake biome"	"A biome which is determined by a freshwater lake."
<http://purl.obolibrary.org/obo/ENVO_01000253>	"freshwater river biome"	
<http://purl.obolibrary.org/obo/ENVO_00000891>	"large lake biome"	
<http://purl.obolibrary.org/obo/ENVO_00000887>	"large river biome"	
<http://purl.obolibrary.org/obo/ENVO_00000889>	"large river delta biome"	
<http://purl.obolibrary.org/obo/ENVO_00000888>	"large river headwater biome"	
<http://purl.obolibrary.org/obo/ENVO_01000046>	"marginal sea biome"	"The marginal sea biome comprises parts of an ocean partially enclosed by land such as islands, archipelagos, or peninsulas. Unlike mediterranean seas, marginal seas have ocean currents caused by ocean winds. Many marginal seas are enclosed by island arcs that were formed from the subduction of one oceanic plate beneath another."
<http://purl.obolibrary.org/obo/ENVO_01000027>	"marine abyssal zone biome"	"The marine abyssal zone biome comprises regions of the marine benthic biome  between approximately 2500 m and 6000 m depth. This zone generally coincides with the continental rise and the abyssal plain."
<http://purl.obolibrary.org/obo/ENVO_01000054>	"marine basaltic hydrothermal vent biome"	"A marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. Basalt generally has a composition of 45 to 55 wt % SiO2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % TiO2, 5 to 14 wt % FeO and 14 wt % or more Al2O3. Contents of CaO are commonly near 10 wt %, those of MgO commonly in the range 5 to 12 wt %."
<http://purl.obolibrary.org/obo/ENVO_01000026>	"marine bathyal zone biome"	"The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope."
<http://purl.obolibrary.org/obo/ENVO_01000024>	"marine benthic biome"	"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed."
<http://purl.obolibrary.org/obo/ENVO_00000447>	"marine biome"	"An aquatic biome which is determined by a marine water body."
<http://purl.obolibrary.org/obo/ENVO_01000051>	"marine black smoker biome"	"A marine black smoker biome comprises regions of the marine hydrothermal vent biome characterised by a black vent plume. This black plume is a consequence of dissolved metals and minerals forming complexes with sulphide and indicates polymetallic sulphide mineral deposits beneath the surface."
<http://purl.obolibrary.org/obo/ENVO_01000127>	"marine cold seep biome"	"A marine benthic biome which is determined by a cold seep."
<http://purl.obolibrary.org/obo/ENVO_01000049>	"marine coral reef biome"	"The marine coral reef biome comprises constructional wave-resistant entities which are primarily built by corals and are often cemented together. The growth of these structures is aided by zooxanthellae, algae that are symbiotic with the reef-building corals."
<http://purl.obolibrary.org/obo/ENVO_01000028>	"marine hadal zone biome"	"The marine hadal zone biome describes sea floor deeper than 6000 m such as that of the oceanic trenches."
<http://purl.obolibrary.org/obo/ENVO_01000030>	"marine hydrothermal vent biome"	"The marine hydrothermal vent biome comprises regions of the marine benthic biome where heat generated due to tectonic activity, either at divergent plate boundaries or convergent ocean plates where back-arc spreading occurs, is released or 'vented' to the surface. The resultant high temperature water jets are laden with dissolved metals and minerals."
<http://purl.obolibrary.org/obo/ENVO_01000025>	"marine neritic benthic zone biome"	"The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level."
<http://purl.obolibrary.org/obo/ENVO_01000023>	"marine pelagic biome"	"The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths."
<http://purl.obolibrary.org/obo/ENVO_01000029>	"marine reef biome"	"A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water."
<http://purl.obolibrary.org/obo/ENVO_01000022>	"marine salt marsh biome"	"The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marine water (e.g.: sloughs, bays, estuaries). It is dominated by halophytic (salt tolerant) herbaceous plants. The daily tidal surges bring in nutrients, which tend to settle in roots of the plants within the salt marsh. The natural chemical activity of salty (or brackish) water and the tendency of algae to bloom in the shallow unshaded water also allow for great biodiversity."
<http://purl.obolibrary.org/obo/ENVO_01000123>	"marine sponge reef biome"	"The marine sponge reef biome comprises marine reefs primarily built by marine sponges. The primary frame-building sponges are all members of the order Hexactinosa. They are found only in glacier-scoured troughs of low-angle continental shelf. The seafloor is stable and consists of rock, coarse gravel, and large boulders."
<http://purl.obolibrary.org/obo/ENVO_01000050>	"marine subtidal rocky reef biome"	"The marine rocky subtidal reef biome comprises regions of the marine reef biome composed mainly of rock and which harbour abundant communities of algae and invertebrates. These reefs are often very patchy, with alterations of rocks dominated by rich invertebrate assemblages and turf-forming calcareous red algae."
<http://purl.obolibrary.org/obo/ENVO_01000053>	"marine ultramafic hydrothermal vent biome"	"A marine ultramafic hydrothermal vent biome comprises regions of themarine  hydrothermal vent biome hosted on ultramafic (also referred to as ultrabasic) rocks. Ultramafic rocks are igneous and meta-igneous rocks with very low silica content (less than 45%), generally >18% MgO, high FeO, low potassium, and are composed of usually greater than 90% mafic minerals  (dark colored, high magnesium and iron content). The Earth's mantle is composed of ultramafic rocks."
<http://purl.obolibrary.org/obo/ENVO_01000858>	"marine upwelling biome"	"A marine biome which contains communities adapted to living in an environment determined by an upwelling process."
<http://purl.obolibrary.org/obo/ENVO_01000052>	"marine white smoker biome"	"A marine white smoker biome comprises regions of the marine hydrothermal vent biome characterised by lightly hued plumes, typically containing barium, calcium, and silicon. These vents tend to have lower temperature plumes when compared to black smoker environments."
<http://purl.obolibrary.org/obo/ENVO_01001833>	"mediterranean biome"	"A biome which is subject to mediterranean climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_01000047>	"mediterranean sea biome"	"The mediterranean sea biome comprises mostly enclosed seas that have limited exchange of deep water with outer oceans and where the water circulation is dominated by salinity and temperature differences rather than winds."
<http://purl.obolibrary.org/obo/ENVO_01001836>	"montane biome"	"A biome which is subject to montane altitudinal conditions."
<http://purl.obolibrary.org/obo/ENVO_01000042>	"neritic epipelagic zone biome"	"The neritic epipelagic zone biome comprises the marine water column that occurs above a continental shelf and extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The epipelagic zone encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline."
<http://purl.obolibrary.org/obo/ENVO_01000043>	"neritic mesopelagic zone biome"	"The neritic mesopelagic zone biome comprises the marine column that occurs above a continental shelf and extends from approximately 200 to 1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases."
<http://purl.obolibrary.org/obo/ENVO_01000032>	"neritic pelagic zone biome"	"The neritic epipelagic zone biome comprises the marine water column above a continental shelf."
<http://purl.obolibrary.org/obo/ENVO_01000041>	"neritic sea surface microlayer biome"	"The neritic sea surface microlayer (SML) biome comprises the top 1000 micrometers of marine surface waters occurring above a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath."
<http://purl.obolibrary.org/obo/ENVO_01000048>	"ocean biome"	"A marine biome which is determined by an ocean."
<http://purl.obolibrary.org/obo/ENVO_01000038>	"oceanic abyssopelagic zone biome"	"The abyssopelagic zone biome comprises the marine water column below the bathypelagic zone biome at approximately 2500 -2700 m and extends either to the hadal pelagic zone biome (at approximately 6000 m) or to the benthopelagic zone biome within ca. 100 m of the seafloor. The depth of 2700 m may be critical for physiological reasons as the change in hydrostatic pressure across this depth may preclude organism migration."
<http://purl.obolibrary.org/obo/ENVO_01000037>	"oceanic bathypelagic zone biome"	"The bathypelagic zone biome comprises the marine water column below approximately 1000 m water depth - the maximum depth to which detectable daylight penetrates in all but the clearest oligotrophic waters - and extends to about 2500 - 2700 m water depth. In the temperate Atlantic, the beginning of the bathypelagic zone biome approximates to the deep oxygen minimum and the base of the permanent thermocline."
<http://purl.obolibrary.org/obo/ENVO_01000040>	"oceanic benthopelagic zone biome"	"The benthopelagic zone biome comprises regions of the marine water column which usually coincide with the benthic boundary layer (BBL) - the layer of isothermal and isohaline water contiguous to the sea floor. A general reversal in the declining gradient of pelagic biomass may be observed here, perhaps explained by viable nutrition on the sea floor being resuspended by bottom currents. This zone typically extends 100 m above the seafloor, but may reach upto1000 m during benthic storms."
<http://purl.obolibrary.org/obo/ENVO_01000035>	"oceanic epipelagic zone biome"	"The oceanic epipelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends from the surface of the ocean to a depth of ca. 200-250m. Throughout the zone the light field tends to be asymmetrical vertically, so that the direction and elevation of the sun can still be detected. The oceanic epipelagic zone biome encompasses the euphotic zone and, where and when it occurs, the seasonal thermocline."
<http://purl.obolibrary.org/obo/ENVO_01000039>	"oceanic hadal pelagic zone biome"	"The oceanic hadal pelagic zone biome comprises the water column in oceanic trenches occurring at depths between 6000m and 10,000m."
<http://purl.obolibrary.org/obo/ENVO_01000036>	"oceanic mesopelagic zone biome"	"The oceanic mesopelagic zone biome comprises regions of the marine water column that occur offshore, beyond a continental shelf. This biome extends through the water column from approximately 200-1000 m depth - the maximal depth of light penetration in all but the clearest oligotrophic ocean regions. In comparison to the epipelagic zone, dominant forms of pelagic organisms do not change very much; however, there are marked changes in species composition and the proportion of smaller-sized individuals decreases."
<http://purl.obolibrary.org/obo/ENVO_01000033>	"oceanic pelagic zone biome"	"The oceanic epipelagic zone biome comprises the marine water column offshore, beyond a continental shelf."
<http://purl.obolibrary.org/obo/ENVO_01000034>	"oceanic sea surface microlayer biome"	"The oceanic sea surface microlayer (SML) biome comprises the top 1000 micrometers of the marine surface waters occurring offshore, away from a continental shelf. It is the boundary layer where all exchange occurs between the atmosphere and the ocean. The chemical, physical, and biological properties of the SML differ greatly from the sub-surface water just a few centimeters beneath."
<http://purl.obolibrary.org/obo/ENVO_01000339>	"polar biome"	"A biome which is subject to polar climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_00000892>	"small lake biome"	
<http://purl.obolibrary.org/obo/ENVO_00000890>	"small river biome"	
<http://purl.obolibrary.org/obo/ENVO_01001837>	"subalpine biome"	"A biome which is subject to subapline altitudinal conditions."
<http://purl.obolibrary.org/obo/ENVO_01001834>	"subpolar biome"	"A biome which is subject to subpolar climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_01001832>	"subtropical biome"	"A biome which is subject to subtropical climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_01001831>	"temperate biome"	"A biome which is subject to temperate climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_01000856>	"temperate marginal sea biome"	"A marginal sea biome which is located in a region with a temperate climate."
<http://purl.obolibrary.org/obo/ENVO_01000860>	"temperate marine upwelling biome"	"A marine upwelling biome which is located in a region subject to temperate climate patterns."
<http://purl.obolibrary.org/obo/ENVO_01000857>	"temperate mediterranean sea biome"	
<http://purl.obolibrary.org/obo/ENVO_01001830>	"tropical biome"	"A biome which is subject to tropical climatic conditions."
<http://purl.obolibrary.org/obo/ENVO_01001230>	"tropical marginal sea biome"	"A marginal sea biome which is located in a region with a tropical climate."
<http://purl.obolibrary.org/obo/ENVO_01000854>	"tropical marine coral reef biome"	"A marine coral reef biome which is located in a region with a tropical climate."
