?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_03501244>	"Bailey bridge"	"A bridge which is a truss bridge, pre-fabricated, and portable."
<http://purl.obolibrary.org/obo/ENVO_01001390>	"Bathymodiolus-dominated oceanic mussel bed"	"An oceanic mussel bed which has mussel communities dominated by members of the genus Bathymodiolus."
<http://purl.obolibrary.org/obo/ENVO_01001385>	"Bathymodiolus-dominated oceanic mussel reef"	"An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells"
<http://purl.obolibrary.org/obo/ENVO_01001452>	"Calyptra habitat"	"A habitat which supports the persistence and growth of a population of Calyptra moths and which overlaps mesic meadows and edges and clearings in vegetated areas."
<http://purl.obolibrary.org/obo/ENVO_03501271>	"Kaaba"	"A building which is at the center of Islam's most important mosque, the Great Mosque of Mecca."
<http://purl.obolibrary.org/obo/ENVO_01001109>	"Karman vortex street"	"A succession of swirling vortices caused by the unsteady separation of flow of a fluid around one or more blunt bodies."
<http://purl.obolibrary.org/obo/ENVO_00003094>	"L-(+)-tartrate enriched soil"	"A portion of L-(+)-tartrate enriched soil is a portion of soil with elevated levels of L-(+)-tartrate."
<http://purl.obolibrary.org/obo/ENVO_01000750>	"Mohorovicic discontinuity"	"The Mohorovicic discontinuity, usually referred to as the Moho, is the boundary between the Earth's crust and the mantle, indicating a change in composition."
<http://purl.obolibrary.org/obo/ENVO_00000437>	"Nye channel"	"A small tunnel valley."
<http://purl.obolibrary.org/obo/ENVO_01001360>	"Paramo"	"An alpine tundra ecosystem which exists above the continuous timberline but below the permanent snowline on elevated land in tropical regions."
<http://purl.obolibrary.org/obo/ENVO_01000299>	"Taylor column"	"A Taylor column is a column of deflected fluid flow which is formed in a perturbed, rotating fluid, is parallel to the axis of rotation, and extends above the obstacle perturbing the fluid in a rigid manner."
<http://purl.obolibrary.org/obo/ENVO_01001461>	"UNEP-WCMC class 1 mountain"	"A high-elevation mountain which has a maximum elevation greater than 4500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001462>	"UNEP-WCMC class 2 mountain"	"A high-elevation mountain which has a maximum elevation between 3500 and 4500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001463>	"UNEP-WCMC class 3 mountain"	"A high-elevation mountain which has a maximum elevation between 2500 and 3500 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001464>	"UNEP-WCMC class 4 mountain"	"A mid-elevation mountain which has a maximum elevation between 1500 and 2499 metres above sea level and a slope greater than or equal to two degrees."
<http://purl.obolibrary.org/obo/ENVO_01001465>	"UNEP-WCMC class 5 mountain"	"A mid-elevation mountain which has a maximum elevation between 1000 and 1499 metres above sea level and either 1) a slope greater than or equal to five degrees or 2) a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001466>	"UNEP-WCMC class 6 mountain"	"A mid-elevation mountain which has a maximum elevation between 300 and 999 metres above sea level and a local elevation range, within a 7 kilometre radius, of greater than 300 metres above sea level."
<http://purl.obolibrary.org/obo/ENVO_01001467>	"UNEP-WCMC class 7 mountain"	"An elevated inner basin or plateau surrounded by mountains, but not - itself - a mountain."
<http://purl.obolibrary.org/obo/ENVO_00000524>	"abandoned watercourse"	"A former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns."
<http://purl.obolibrary.org/obo/ENVO_01000925>	"abattoir"	"A facility in which non-human animals are slaughtered and processed for human consumption."
<http://purl.obolibrary.org/obo/ENVO_01001396>	"abyssal clay"	"Clay which is part of an abyssal plain."
<http://purl.obolibrary.org/obo/ENVO_00000190>	"abyssal feature"	"Feature on the ocean floor at a depth of 3500 - 6000 meters."
<http://purl.obolibrary.org/obo/ENVO_00000244>	"abyssal plain"	"A flat or very gently sloping areas of the deep ocean basin floor."
<http://purl.obolibrary.org/obo/ENVO_00003087>	"acetamide enriched soil"	"A portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide."
