?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01001825>	"active anaerobic enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions with no free oxygen."
<http://purl.obolibrary.org/obo/ENVO_01001822>	"active enrichment culturing unit"	"An enrichment culturing unit which contains environmental material bearing ecological assemblages undergoing selection through experimentally imposed conditions."
<http://purl.obolibrary.org/obo/ENVO_01001826>	"active sulphate-reducing enrichment culturing unit"	"An active enrichment culturing unit which contains environmental material maintained under conditions that favour the reduction of sulphate."
<http://purl.obolibrary.org/obo/ENVO_00002870>	"adobe"	"A natural building material mode from sand, clay, water, and some kind of fibrous or organic material (sticks, straw, and/or manure)."
<http://purl.obolibrary.org/obo/ENVO_00002126>	"aerobic bioreactor"	"A bioreactor in which the contained material is well-oxygenated."
<http://purl.obolibrary.org/obo/ENVO_00002874>	"air conditioning unit"	
<http://purl.obolibrary.org/obo/ENVO_00003968>	"air filter"	"An air filter is a device that removes some substance from air."
<http://purl.obolibrary.org/obo/ENVO_01001488>	"aircraft"	"A vehicle which is able to travel through air in an atmosphere."
<http://purl.obolibrary.org/obo/ENVO_00002124>	"anaerobic bioreactor"	"A bioreactor in which the contained material is not oxygenated (i.e. void of biologically consequential free oxygen)"
<http://purl.obolibrary.org/obo/ENVO_00002125>	"anaerobic dechlorinating bioreactor"	"A device or system that supports a biologically active environment. A vessel in which is carried out a chemical process which involves organisms or biochemically active substances derived from such organisms. This process can either be aerobic or anaerobic."
<http://purl.obolibrary.org/obo/ENVO_00002213>	"anaerobic sludge blanket reactor"	
<http://purl.obolibrary.org/obo/ENVO_01000922>	"animal cage"	"A manufactured cage which may be used to confine, contain, or protect an animal."
<http://purl.obolibrary.org/obo/ENVO_01001120>	"animal manure product"	"A product which is composed primarily of animal manure that has been heat treated and packaged as a product for commercial or consumer use."
<http://purl.obolibrary.org/obo/ENVO_01000975>	"animal trap"	"A manufactured product which is designed to catch and hold animals."
<http://purl.obolibrary.org/obo/ENVO_01000607>	"animal-drawn cart"	"An animal-drawn cart is a cart which is attached to one or more working or draught animals."
<http://purl.obolibrary.org/obo/ENVO_00002196>	"aquarium"	"An aquarium is a vivarium which simulates the submerged portions of an aquatic environment"
<http://purl.obolibrary.org/obo/ENVO_01000911>	"automated teller machine"	"An electronic telecommunications device that enables the customers of a financial institution to perform financial transactions, particularly cash withdrawal, without the need for a human cashier, clerk or bank teller."
<http://purl.obolibrary.org/obo/ENVO_01000873>	"ballast tank"	"A ballast tank is a compartment within a boat, ship or other floating structure that holds water, which is used as ballast to provide stability for a vessel."
<http://purl.obolibrary.org/obo/ENVO_01000991>	"bathtub fixture"	"A plumbing fixture which may serve as a container for water in which humans or other animals may bathe."
<http://purl.obolibrary.org/obo/ENVO_01000573>	"battery-powered electric lamp"	"A battery-powered electric lamp is an electric lamp which draws its power from a device composed of two or more electrochemical cells that convert stored chemical energy into electrical energy."
<http://purl.obolibrary.org/obo/ENVO_01000592>	"bed base"	"A bed base is a piece of furniture which supports a mattress."
<http://purl.obolibrary.org/obo/ENVO_01000591>	"bed frame"	"A bed frame is a piece of furniture which is used to position a mattress and bed base and may include a means of supporting a canopy."
<http://purl.obolibrary.org/obo/ENVO_02000002>	"bedclothing"	"Bedclothing is a textile covering used on a bed as a sheet, blanket, or pillowcase."
<http://purl.obolibrary.org/obo/ENVO_01000589>	"bench"	"A bench is a piece of furniture, on which several people may sit at the same time."
<http://purl.obolibrary.org/obo/ENVO_01000614>	"bicycle"	"A bicycle is a human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other."
<http://purl.obolibrary.org/obo/ENVO_00002152>	"biofilter"	"A bioreactor which captures and, through the biological processes maintained in the medium it contains, degrades pollutants."
<http://purl.obolibrary.org/obo/ENVO_02000043>	"biological product"	"A biological product is an environmental substrate comprised of any virus, therapeutic serum, toxin, antitoxin, or analogous product available to prevent, treat or cure diseases or injuries in man."
<http://purl.obolibrary.org/obo/ENVO_01001816>	"biomaterial containment unit"	"A manufactured product which has been designed to contain a mass of biomaterial."
<http://purl.obolibrary.org/obo/ENVO_01001817>	"biomaterial culturing unit"	"A biomaterial containment unit which is designed to allow the growth and propagation of the biomaterial it contains."
<http://purl.obolibrary.org/obo/ENVO_00002123>	"bioreactor"	"A biomaterial containment unit which is capable of 1) containing a mass of environmental material which hosts an active collection of organisms and 2) maintaining conditions which are conducive to one or more metabolic activities of the organisms it contains."
<http://purl.obolibrary.org/obo/ENVO_01000608>	"boat"	"A boat is a watercraft of any size which is able to float or plane on water."
