?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_00003094>	"L-(+)-tartrate enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00003087>	"acetamide enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_01001185>	"acidic soil"	
<http://purl.obolibrary.org/obo/ENVO_00002234>	"acrisol"	
<http://purl.obolibrary.org/obo/ENVO_00002259>	"agricultural soil"	
<http://purl.obolibrary.org/obo/ENVO_00002233>	"albeluvisol"	
<http://purl.obolibrary.org/obo/ENVO_00002231>	"alisol"	
<http://purl.obolibrary.org/obo/ENVO_00005744>	"allotment garden soil"	
<http://purl.obolibrary.org/obo/ENVO_00005759>	"alluvial paddy field soil"	
<http://purl.obolibrary.org/obo/ENVO_00002871>	"alluvial soil"	
<http://purl.obolibrary.org/obo/ENVO_00005758>	"alluvial swamp soil"	
<http://purl.obolibrary.org/obo/ENVO_00005741>	"alpine soil"	
<http://purl.obolibrary.org/obo/ENVO_00002232>	"andosol"	
<http://purl.obolibrary.org/obo/ENVO_00002230>	"anthrosol"	
<http://purl.obolibrary.org/obo/ENVO_00005742>	"arable soil"	
<http://purl.obolibrary.org/obo/ENVO_00002229>	"arenosol"	
<http://purl.obolibrary.org/obo/ENVO_00005757>	"bacteria enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_01001616>	"bare soil"	
<http://purl.obolibrary.org/obo/ENVO_00005770>	"beech forest soil"	
<http://purl.obolibrary.org/obo/ENVO_00005789>	"bluegrass field soil"	
<http://purl.obolibrary.org/obo/ENVO_00005802>	"bulk soil"	
<http://purl.obolibrary.org/obo/ENVO_00005760>	"burned soil"	
<http://purl.obolibrary.org/obo/ENVO_00002239>	"calcisol"	
<http://purl.obolibrary.org/obo/ENVO_00002235>	"cambisol"	
<http://purl.obolibrary.org/obo/ENVO_01000427>	"carbon nanotube enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00003914>	"chalk soil"	
<http://purl.obolibrary.org/obo/ENVO_00002237>	"chernozem"	
<http://purl.obolibrary.org/obo/ENVO_00005762>	"chloropicrin enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00002145>	"chromate contaminated soil"	
<http://purl.obolibrary.org/obo/ENVO_00002262>	"clay soil"	
<http://purl.obolibrary.org/obo/ENVO_00005747>	"compost soil"	
<http://purl.obolibrary.org/obo/ENVO_00002116>	"contaminated soil"	
<http://purl.obolibrary.org/obo/ENVO_00002117>	"creosote contaminated soil"	
<http://purl.obolibrary.org/obo/ENVO_00002236>	"cryosol"	
<http://purl.obolibrary.org/obo/ENVO_00005748>	"dry soil"	
<http://purl.obolibrary.org/obo/ENVO_00002260>	"dune soil"	
<http://purl.obolibrary.org/obo/ENVO_00002238>	"durisol"	
<http://purl.obolibrary.org/obo/ENVO_00003082>	"enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00003086>	"ethanol enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005787>	"eucalyptus forest soil"	
<http://purl.obolibrary.org/obo/ENVO_00005749>	"farm soil"	
<http://purl.obolibrary.org/obo/ENVO_00002246>	"ferralsol"	
<http://purl.obolibrary.org/obo/ENVO_00005754>	"fertilized soil"	
<http://purl.obolibrary.org/obo/ENVO_00005755>	"field soil"	
<http://purl.obolibrary.org/obo/ENVO_00002273>	"fluvisol"	
<http://purl.obolibrary.org/obo/ENVO_00002261>	"forest soil"	
<http://purl.obolibrary.org/obo/ENVO_01001528>	"friable-frozen soil"	
<http://purl.obolibrary.org/obo/ENVO_01001638>	"frost-susceptible soil"	
<http://purl.obolibrary.org/obo/ENVO_00005765>	"frozen compost soil"	
<http://purl.obolibrary.org/obo/ENVO_01001526>	"frozen soil"	
<http://purl.obolibrary.org/obo/ENVO_00002263>	"garden soil"	
<http://purl.obolibrary.org/obo/ENVO_00002244>	"gleysol"	
<http://purl.obolibrary.org/obo/ENVO_00005750>	"grassland soil"	
<http://purl.obolibrary.org/obo/ENVO_00005780>	"greenhouse soil"	
<http://purl.obolibrary.org/obo/ENVO_00002245>	"gypsisol"	
<http://purl.obolibrary.org/obo/ENVO_01001525>	"hard-frozen soil"	
<http://purl.obolibrary.org/obo/ENVO_00005781>	"heat stressed soil"	
<http://purl.obolibrary.org/obo/ENVO_00002243>	"histosol"	
<http://purl.obolibrary.org/obo/ENVO_00005763>	"humus-rich acidic ash soil"	
<http://purl.obolibrary.org/obo/ENVO_00005751>	"jungle soil"	
<http://purl.obolibrary.org/obo/ENVO_00002240>	"kastanozem"	
<http://purl.obolibrary.org/obo/ENVO_00003090>	"kynurenate enriched soil"	
<http://purl.obolibrary.org/obo/ENVO_00005756>	"lawn soil"	
<http://purl.obolibrary.org/obo/ENVO_00005783>	"leafy wood soil"	
<http://purl.obolibrary.org/obo/ENVO_00002241>	"leptosol"	
<http://purl.obolibrary.org/obo/ENVO_00005766>	"limed soil"	
<http://purl.obolibrary.org/obo/ENVO_00002242>	"lixisol"	
<http://purl.obolibrary.org/obo/ENVO_00002258>	"loam"	
<http://purl.obolibrary.org/obo/ENVO_00002248>	"luvisol"	
<http://purl.obolibrary.org/obo/ENVO_00005767>	"manured soil"	
<http://purl.obolibrary.org/obo/ENVO_00005761>	"meadow soil"	
<http://purl.obolibrary.org/obo/ENVO_00003081>	"metal contaminated soil"	
<http://purl.obolibrary.org/obo/ENVO_00005769>	"mountain forest soil"	
<http://purl.obolibrary.org/obo/ENVO_00005771>	"muddy soil"	
<http://purl.obolibrary.org/obo/ENVO_00002247>	"nitisol"	
<http://purl.obolibrary.org/obo/ENVO_00002875>	"oil contaminated soil"	
